German
init_nickname;Geben Sie einen Charakternamen:
hello_chiter;Hallo, betrüger. Ihr Versuch, zu betrügen, wurde aufgezeichnet. Tun Sie es nicht wieder!
server_error;Server-Fehler.
ban_cheater;Hallo, betrüger. Sie wurden verboten.
loading_data;Daten werden geladen.
newGameMapTypeStr[0];Meine Karten
newGameMapTypeStr[1];Standardkarten
filterGameTypeStr[0];Jede Schlacht Typ
filterGameTypeStr[1];Free For All
filterGameTypeStr[2];Bau
filterGameTypeStr[3];Überleben
filterGameTypeStr[4];Teams
mapCanBreakStr[0];jeder
mapCanBreakStr[1];Keine Zerstörung
mapCanBreakStr[2];Zerstörung
mapDayLightStr[0];jeder
mapDayLightStr[1];Tag
mapDayLightStr[2];Tag und Nacht
mapDayLightStr[3];Nacht
serverTypeStr[0];Server
serverTypeStr[1];My \ nMaps
serverTypeStr[2];Alle \ nMap
begin_game;Spiel starten
any_map;jede Karte
map;Karte
self_map;Spielerkarte
wrong_password;--- Ungültiges Passwort! --- (Passwort unten geschrieben)
respawnTimeStr[0];10 Sekunden
respawnTimeStr[1];30 Sekunden
respawnTimeStr[2];1 Minute
respawnTimeStr[3];2 Minuten
respawnTimeStr[4];5 Minuten
respawnTimeStr[5];10 Minuten
respawnTimeStr[6];30 Minuten
respawnTimeStr[7];kein respawning
monster_options;Monster Respawn Punkt Optionen
monster_type;Monstertyp
ressurection_time;Respawn-Zeit
error_empty_map;Leere Karte! Versuchen Sie ein anderes Spiel.
player_can_build_now;Gebäude ist jetzt erlaubt
player_cant_build_now;Gebäude ist verboten!
opt_name;Optionen
opt_graph;Grafik
opt_worse;niedriger
opt_better;höher
opt_sound;Ton
opt_silent;Ruhigere
opt_louder;Louder
opt_empty_screen;Leere \ nScreen
opt_smooth_follow;Glatte \ nMovement
opt_close;Schließen (O)
connect_failed;Verbindung fehlgeschlagen.
create_room_failed;Zimmer konnte nicht erstellt werden.
put_on_items;--- Platz auf Schalter ---
cube_occupied;--- Dieser Block ist besetzt ---
to_delete_press;Drücken Sie DEL löschen
to_move_press;Drücken Sie E zu bewegen
to_activate_press;Drücken Sie F zu aktivieren
to_rotate_press;Drücken Sie R zu drehen
to_edit_press;Drücken Sie T bearbeiten Optionen
cant_build_ask_admin;Gebäude ist verboten. Kontaktieren Sie den Administrator der Karte.
cant_change_world;Sie können die Welt nicht im aktuellen Spielmodus ändern.
not_enougth_cubes;Keine mehr Blöcke. Zeit zu kämpfen!
beside_world;--- Über die Karte ---
place_on_cube_side;--- Dieses auf der Seite eines Blocks ---
place_on_ceil;--- Dieses an der Decke ---
cant_already_remove;Sie können nichts anderes löschen. Zeit zu kämpfen!
find_item_choose_type;Wählen Sie einen Elementtyp
find_item_type;Medienart
apply;USE
_for;für
ps_choose_new_item_place;Wählen Sie einen neuen Standort dieses Produkt zu platzieren.
ps_press_for_respawn;Drücken Sprung (Spacebar) respawnen
ps_you_dead_try_again;Du bist tot! Versuchen Sie es erneut, die Mission
ps_survival_dead;Sie werden zu Beginn der nächsten Welle respawnen (oder wenn ein anderer Spieler geht vorbei an den Ort, den Sie starb).
ps_survival_if_VIP;Wenn Sie VIP-Status haben, werden Sie in 30 Sekunden respawnen.
ps_use_vita_water;Respawnen, verwenden Sie etwas Wasser des Lebens (Inventory (C) - Gegenstände)
ps_press_for_use_vita_water;Respawnen, drücken Sie X, und Ihr Wasser des Lebens werden Sie zurück bringen
ps_before_respawn_secs;Verbleibende Zeit bis zum Respawn
ps_health_and_armor_restored;Gesundheit und Rüstung restauriert
ss_loading;Laden
social_tell_friends;Lassen Sie Ihre Freunde
social_menu;In den Menü
social_invite_friends;Freunde einladen
social_group;Gruppe beitreten
social_invite_num_friends;3 Freunde einladen
social_tell_about_game;Sagen Sie Freunde über das Spiel
social_install_game;Spiel installieren
trig_options;Switch-Optionen
trig_type;Schaltertyp
trig_triggered_if;Schaltzustand:
trig_need_for_triggering;Schalter-Anforderungen:
trig_mission_exit;Lassen Sie diese Mission!
wire_put_on_switch;Sie können nur einen Draht an einem Schalter platzieren!
wire_options;Draht-Optionen
wire_signal_delay;Signalverzögerung
wire_connected_with;Draht verbunden
wire_not_connected;nicht verbunden
wire_connected_moveable_cubes;Bewegliche Blöcke
wire_connected_switch;Schalter
wire_connected_item;Artikel
wire_connected_coords;Koordinaten
wire_connect_to;Schließen Sie Draht
wire_choose_connect_to;Wählen Sie einen Ort, um den Draht zu verbinden. (Für Teleportation, ein einfaches Block. Für andere Mechanik, bewegliche Blöcke, Elemente oder Schalter.)
plazm_grenade_gun;Plasma-Granatwerfer
seconds;Sekunden
secondu;zweite
secondy;Sekunden
minutes;Minuten
minutu;Minute
minuty;Minuten
monsters;Monsters
monstra;Monsters
viral_title;Die Mission und eine Belohnung
viral_bonus;Belohnung
player_exit;hat das Spiel verlassen
player_joined;hat das Spiel beigetreten
need_bullets_nothing;nichts
need;erforderlich
put_on;ausrüsten
activities_title;Bewegung
shots_per_sec;Shots / sec:
requireBullets;Verwendung:
offer_text[0];Meine Damen und Herren, nehmen Sie sich Zeit nur heute hat ein einzigartiges Verkauf. 50% Rabatt für diese Produkte
offer_text[1];Bester Preis für Gold
offer_text[2];Mehr Geld und Erfahrung bei Missionen
monster_health_mult;Gesundheit Multiplikator
monster_damage_mult;Schadensmultiplikator
monster_state;Mit diesen Parametern des Monsters neuen Status
boss;Boss
newYearBoss_mission_adv;Secret Mission
newYearBoss_mission_need_level;Benötigt Stufe 5.
transport_options;Konfigurieren von Transport Laich
transport_type;Transportart
transportName[0];ATV
transportName[1];Türmchen
transportName[2];banshee
to_drive_press;Press (F) zu verwenden,
no_place_to_drive;--- Alle Plätze sind belegt! ---
press_to_end_drive;Drücken Sie (F) für die Ausreise
mission_name[1];Lernprogramm
mission_name[2];Die Verteidigung des Dorf
mission_name[4];Die Verteidigung des Dorf
mission_name[5];Auf der Suche nach Riss
mission_name[6];The Last Defense
mission_name[7];Park Cleanup
mission_name[10];radioaktiv
mission_name[11];Die zweite Welle
mission_name[12];Alpha Base
mission_name[13];Vektor
mission_name[14];Tank-Produktion
mission_name[15];Fear Factory
mission_name[16];Secret of the Dead
mission_name[17];Totschläger
mission_name[18];Steuerung
mission_name[19];Tagil
mission_name[20];Flugzeug
mission_name[21];Krump
mission_name[22];China-Stadt
mission_name[23];Eile
mission_name[24];Kreuz
mission_name[26];Überlebe!
mission_name[27];Zerstören Sie!
mission_name[28];Finden!
mission_name[29];Sammeln!
mission_name[30];Escape!
mission_name[31];Aufwischen!
Buy;kaufen
pieses;Betrag
for_fullScreen_press;Vollbild - drücken Sie F12
social_folow_fanpage;Folgen Sie Fan Page
you_killed;Sie getötet
you_was_killed_by;getötet von
killed;getötet
to_next_round_last;Nächste Runde beginnt in
shooter_end_battle;Beenden Sie die Schlacht
winner_place[0];1. Platz
winner_place[1];2. Platz
winner_place[2];3. Platz
dead_by_nature;ist tot
dead_himself;Selbstmord engagierter
dead_by_zombie;wurde gegessen
weaponNames[27];Plazmer
weaponNames[28];Scorch gun
weaponNames[29];Adv. Pistole
weaponNames[30];Tactical Shotgun
weaponNames[31];taktischer Gewehr
offer_title;Angebot
sale_title;Verkauf
offer_open_shop;Open Store
offer_open_bank;Offene Bank
bulletsNames[4];Plazm
bulletsNames[5];Ammo 7,62
bulletsNames[6];Uran
bulletsNames[7];PTURS Raketen
bulletsNames[8];Grenades
bulletsNames[9];Ammo 0,300
howto_tab;TAB - Spieler Partituren
clothesName[58];exo-Rüstung
clothesName[59];exo Stiefel
clothesName[60];exo Helm
clothesName[61];exo-Pads
clothesName[62];exo-Rüstung
clothesName[63];exo Stiefel
clothesName[64];exo Helm
clothesName[65];exo-Pads
buildinMapName[13];Motel
buildinMapName[14];Schlachthaus
skinName[12];exo
buildinMapName[15];Fluss
buildinMapName[16];Bucht
buildinMapName[17];Insel
buildinMapName[18];Flachland
buildinMapName[19];Kreuzung
buildinMapName[20];Fluss
buildinMapName[21];Arena
buildinMapName[22];Zwei Türme
buildinMapName[23];Streik
buildinMapName[24];"Sturm Pro"
buildinMapName[25];"Motel"
online;Online
building;Gebäude
mapsTop;Top-Karten
anyBattle;jede Schlacht
withFriends;Mit Freunden
createGame;erstellen Spiel
friendsMaps;Freunde Karten
findMap;Finden Karte
buySlotFor10;Kaufen Steckplatz für 10
allMaps;Alle Karten
addFor10;In 10
accuracy;Genauigkeit
nearFight;In der Nähe Kampf
lightWeapon;Leichte Waffen
shotguns;Shotguns
assaults;Assaults
heavy;schwer
precision;Präzision
equipment;Ausrüstung
weapons;Bewaffnung
dances;Dances
myClan;Mein Clan
allClans;Alle Clans
createFor10;Erstellen Sie für 10
edit;bearbeiten
leave;verlassen
gameType;Spielart
add;hinzufügen
addMap;In Karte
mapCanBreak1;unverwüstlich
weapon_upgrade_name0;Schaden
weapon_upgrade_name2;Feuerrate
weapon_upgrade_name3;Clip Größe
weapon_upgrade_name4;init Munition
is_tabs0;Würfel
tabsItems;Artikel
is_tabs2;Mechanismen
is_tabs3;respawns
clanShort;Kurzname
clanURL;Clan-URL
clanName;Clanname
clanJoin;beitreten
clan;Clan
myMap;Meine Karte
find;finden
clear;klar
buyToUpgrade;Um ein Upgrade, es zu kaufen
message;Nachricht
start;Start
buildinMaps;buildin Karten
music;Musik
mouseSens;Maus-sens.
sound;Ton
settings;Einstellungen
graph;Grafik
resolution;Resulution
activate;aktivieren
close;schließen
character;Charakter
main;Main
game;Spiel
arsenal;Arsenal
career;Karriere
fastBattle;Schnelle Battle!
use;Verwendung
needParamsUpgradeNow;Aktualisieren Sie alle jetzt
needParamsToBuy1;brauchen
needParamsToBuyLevel;Ebene
Upgrade;Upgrade
weapon_upgrade_name[0];Schaden
weapon_upgrade_name[1];Genauigkeit
weapon_upgrade_name[2];Feuerrate
weapon_upgrade_name[3];Clip Größe
weapon_upgrade_name[4];init Munition
twiceGoldForFirstDonate;2-mal mehr Münzen für die erste Zahlung!
DecorTypesNew[0];Licht
DecorTypesNew[1];Möbel
DecorTypesNew[2];Türen
DecorTypesNew[3];Leitern
DecorTypesNew[4];Pflanzen
DecorTypesNew[5];Dekor
DecorTypesNew[6];Straßen
DeviceTypes[3];Boosters
episode4;Überlebende
episode5;Infektion
episode6;Die Halbwertszeit
episode7;Einsamkeit
episode8;verdunkeln
filterGameTypeStr[5];Capture the Flag
filterGameTypeStr[6];Beherrschung
gameTypeStr[6];Capture the Flag
gameTypeStr[7];Beherrschung
mission_name[32];Furcht!
mission_name[33];Vorposten
mission_name[34];Rock
mission_name[35];Laboratory of Evil
mission_name[36];Der Anfang
mission_name[37];Die infizierte Zone
mission_name[38];The Crossing
mission_name[39];Die Zone
mission_name[40];Absturz
mission_name[41];The Twilight Wald
mission_name[42];Heil
mission_name[43];Damm
mission_name[44];Die Höhlen des Todes
mission_name[45];Weltraum-Flughafen
mission_name[46];Der Asteroid Omega
mission_name[47];Gut
mission_name[48];Paradies
mission_name[49];Der Weg nach Westen
mission_name[50];Die Ruinenstadt
mission_name[51];Labor für
mission_name[52];Die geheime Stadt
mission_name[53];Tiefe
mission_name[54];Base-Gamma
mission_name[55];Deadlock
mission_name[56];Tesla Arena
mission_name[57];PXL
mission_name[58];Die Dorfbergleute
mission_name[59];Astrand
mission_name[60];Atlantis
mission_name[61];Die Akademie
mission_name[62];Labor Albadar
mission_name[63];Der Bau
mission_name[64];Wüste
mission_name[65];Die Klagemauer
mission_name[66];ECIP-18
mission_name[67];The Village
mission_name[68];Die Höhle
mission_name[69];Die verlassene Hafen
mission_name[70];Der verborgene Tempel
mission_name[71];
mission_name[72];Wendekreis
mission_name[73];Wasser-Park
mission_name[74];Quartal
mission_name[75];Arterie
mission_name[76];Steinbruch
mission_name[78];Verlassenen Mine
mission_name[79];Der geheime Tempel
mission_name[80];Labor-776
mission_name[81];Tschernobyl
mission_name[82];Norden
mission_name[83];Der dunkle Weg
mission_name[84];Gut
mission_name[85];Ein ruhiger Ort
mission_name[86];Die Abrechnung
createForX;Erstellen Sie für {0}
myMapsListTutor;Wählen Sie eine Karte aus der Liste. Sie können Ihre Karten alleine oder mit Freunden zu bauen, und dann Ihre Karten über das Netzwerk spielen.
bonusName[0];WIDERLEGT
bonusName[1];DOPPELUNTERGRABUNG
bonusName[2];EXPLOSION
bonusName[3];DOUBLE EXPLOSION
bonusName[4];2 Frags
bonusName[5];5 Frags
bonusName[6];7 Frags
bonusName[7];10 Frags
bonusName[8];Hadshot
bonusName[9];3 Kopfschüsse
bonusName[10];5 Kopftr
bonusName[11];DIE RETTER
bonusName[12];5 GERETTET
bonusName[13];DER HEILIGE
bonusName[14];Nahkampf
bonusName[15];MELEE COMBAT 3
bonusName[16];SUICIDE
bonusName[17];Das Gewinner-Team
bonusName[18];1. Platz
bonusName[19];2. PLATZ
bonusName[20];3.Platz
bonusName[21];Capture the Flag
bonusName[22];DIE MISSION
bonusName[23];5 Zombies
bonusName[24];20 Zombies
bonusName[25];50 Zombies
bonusName[26];3 Dämonen
bonusName[27];10 Dämonen
bonusName[28];3 Zombie-Explosion
bonusName[29];20 Zombie-Explosion
bonusName[30];50 Zombie-Explosion
bonusName[31];Die Zerstörung von Transport
bonusName[32];3 Transporte
bonusName[33];1 Welle
bonusName[34];3 Wellen
bonusName[35];5 Wellen
bonusName[36];10 Wellen
bonusName[37];50 Würfel
bonusName[38];150 Würfel
bonusName[39];5 Artikel
bonusName[40];20 Artikel
bonusName[41];Der Mechanismus
frags_killed;Frags
dialog_next;nächste
exitGame;Ausgang zum Hauptmenü?
exit;Ausgang
gameItemsNames[83];Rote Fahne
gameItemsNames[84];Grüne Flagge
gameItemsNames[85];Blaue Flagge
gameItemsNames[86];Goldene Fahne
gameItemsNames[87];Spawn sniper
gameItemsNames[88];Spawn von Scorch Gun
gameItemsNames[89];Vorherrschaftspunkt
gameItemsNames[90];APC Respawn
gameItemsNames[91];Cutters Respawn
gameItemsNames[92];Djumper
gameItemsNames[93];Pusher
gameItemsNames[94];PC
gameItemsNames[95];Ctylish PC
gameItemsNames[96];Zombie-Agent
gameItemsNames[97];Zombie Stalker
SpawnerTypes[0];Bewaffnung
SpawnerTypes[1];Monsters
SpawnerTypes[2];besondere
SpawnerTypes[3];andere
buildinMapName[26];Lummoks
buildinMapName[27];Argolis
pauseMenu_rank;Rang
pauseMenu_name;Name
pauseMenu_kills;Frags
pauseMenu_deathes;deathes
pauseMenu_ban;Verbot
pauseMenu_allow;Erlauben / verbieten
pauseMenu_beginTest;Begin Karte Test
pauseMenu_saveMap;Speichern Karte
pauseMenu_healers;Hilft
pauseMenu_gamers;Gamers
pauseMenu_wave;wave:
pauseMenu_score;Partitur
clan_fail_new;Fehlgeschlagen Clan Schöpfung
clan_url_default;Geben Sie Clangruppe URL z.B. http://facebook.com/
gameItemsNames[120];Tür
gameItemsNames[121];Brust
gameItemsNames[122];Teppich
gameItemsNames[123];Kleiderschrank
gameItemsNames[124];Tabelle
gameItemsNames[125];Hocker
gameItemsNames[126];Kerzen
strTutor[21];C drücken und wählen Sie eine beliebige Würfel \ nThen 5 Würfel bauen überall (rechte Maustaste)
strTutor[22];Fertig! Jetzt zerstören alle 5 Würfel (linke Maustaste)
clothesName[66];Kaninchen
clothesName[67];Flügel
clothesName[68];Astronautenhelm
skinName[13];Raumfahrer
skinName[14];Ritter
txts_bonus;Bonus
instal_android_many;Installieren Sie Totzone auf Ihrem Telefon einen guten Überblick verlassen und 5 Sterne setzen und erhalten {0} Münzen.
instal_android;1.Installieren das Spiel auf Ihrem Handy.
star_otziv;2.Leave eine gute Kritik und setzen 5 Sternen
txt_frendsss;3.Tell deinen Freunden
award_android;Auszeichnung
ta_bonus;Pick-up-Bonus
enter_android;ENTER GMAIL GOOGLE.PLAY
gmail_android;geben Sie Ihre E-Mail-Adresse von Google spielen über die Installation des Spiels zu bestätigen
shield_knight;Schild
helmet_knight;Helm
knight_skin;Ritter
pca_pca;PCA
revolver_r;Revolver
bfg_9000;BFG 9000
computer_stailish;Stylish Computer
computer_c;Stylish Computer
pusher;Pusher
jumper;Jumper
easy_apc;Leicht APC
helicopter;Hubschrauber
jet_soldiers;Jet Soldaten
zombie_knight;Zombie-Ritter
zombie_stalker;Zombie Stalker
gameItemsNames[127];Jeep
gameItemsNames[128];Renegat
gameItemsNames[129];Roboter-0x1
gameItemsNames[130];Roboter-0x2
gameItemsNames[131];Roboter-0x3
gameItemsNames[132];Roboter-0x4
gameItemsNames[133];Roboter-BOSS 0x5
gameItemsNames[134];Lite BTR
gameItemsNames[135];Hubschrauber
gameItemsNames[136];Zombie Ritter
gameItemsNames[137];Reaktive Soldaten
gameItemsNames[138];Boot
weaponNames[32];Revolver
weaponNames[33];PCA
weaponNames[34];BFG
clothesName[68];Cosmo Helm
clothesName[69];Helm
clothesName[70];Schild
monsterName[7];Roboter-0x1
monsterName[8];Roboter-0x2
monsterName[9];Roboter-0x3
monsterName[10];Roboter-0x4
monsterName[11];Roboter-Boss 0x5
monsterName[12];Agent
monsterName[13];Pirschjäger
monsterName[14];Ritter
monsterName[15];rocket-Soldaten
he_saved;gespeichert
you_saved;Sie gespeichert
he_saved_you;er gerettet
headshot;KOPF
offer_title;Angebot
sale_title;Verkauf
offer_open_shop;Shop öffnen
offer_open_bank;Offene Bank
howto_tab;TAB - Noten
you_have_flag;Sie haben Flagge! Taki es zu stützen
your_flag_captured;Sie Flagge genommen! Zurück IT!
flag_has_been_captured;Flagge gefangen!
flag_color_name[0];"Red"
flag_color_name[1];"Blue"
flag_color_name[2];"Grüne"
flag_color_name[3];"Yellow"
takes_flag;genommen
dropped_flag;gesunken
flag;Flagge
BCS_Score;Partitur
cant_take_flag_no_players;Sie kann nicht Flagge von leeren Team nehmen
you_returned_flag;Sie kehrte Flagge
your_team_is;Sie Team -
need_level;Need {0} Ebene
Unlock;Schalte für
jumper_options;Djumper Setup
jumper_options_height;Leistung:
mapCanBreak1;Keine Pause
buildinMapName[28];"Arena Sontar"
buildinMapName[29];"Meat Box 2"
buildinMapName[30];"Die rote Stadt"
weaponNames[35];SVD9000
weaponNames[36];FreezeGun
gameItemsNames[139];Beschr
gameItemsNames[140];Tür
gameItemsNames[141];Barriere
gameItemsNames[142];Große Barriere
gameItemsNames[143];Haarkur
gameItemsNames[144];Ampel
gameItemsNames[145];Ampel
gameItemsNames[146];Satelite
gameItemsNames[147];Telefon
gameItemsNames[148];city ​​Light
gameItemsNames[149];Altar
gameItemsNames[150];Scull Zaun
gameItemsNames[151];Feuer Laterne
gameItemsNames[152];Vogelscheuche
gameItemsNames[153];Kürbis-Licht
weaponNames[37];Brecheisen
weaponNames[38];Schlagstock
weaponNames[39];MP5
weaponNames[40];UMP
DeviceTypes[4];Guns
gameItemsNames[154];Gewehr
gameItemsNames[155];Launcher
weaponNames[41];UMP SPEC
weaponNames[42];Katana
weaponNames[43];Axe
clothesName[71];Schwerter
skinName[15];waten
weaponNames[44];Schrotflinte
weaponNames[45];SG553
weaponNames[46];Kriss
weaponNames[47];AA12
weaponNames[48];PP19
weaponNames[49];Shmaiser
weaponNames[50];Bargun
weaponNames[51];MG42
weaponNames[52];SMK2
weaponNames[53];HK416
weaponNames[54];MGL
weaponNames[55];TMP
gameItemsNames[156];Saitan Claus
need_prew_upgrade;Sie müssen alle prew Waffen zu entsperren
unlock;aufschließen
weaponNames[56];Armbrust
weaponNames[57];Carbon-Zusatz
MissionType[7];Finden Ausfahrt in der Zeit
gameItemsNames[157];Tank
ui_buy_for;Kaufen Alle für {0}
gameItemsNames[158];Doppelbett
gameItemsNames[159];Bett
gameItemsNames[160];Stuhl
gameItemsNames[161];Tabelle
gameItemsNames[162];Baricade
gameItemsNames[163];Ziel
gameItemsNames[164];Schließfach
gameItemsNames[165];Mid Locker
gameItemsNames[166];Log
gameItemsNames[167];Reck
gameItemsNames[168];Blau-Behälter
gameItemsNames[169];Red-Behälter
gameItemsNames[170];War Plane
weaponNames[58];Asvald
weaponNames[59];Hammer
weaponNames[60];M7001
newMapTypeName[6];Wüste
newMapTypeName[7];Winter
newMapTypeName[8];Sumpf
gameItemsNames[171];Laterne
gameItemsNames[172];Lantern Big
gameItemsNames[173];Bett groß
gameItemsNames[174];Bett
gameItemsNames[175];Kleiderschrank
gameItemsNames[176];Stuhl
specItemsName[9];Taschenlampe
specItemsName[10];Antigrav
weaponNames[61];fn57
weaponNames[62];m249
weaponNames[63];Gauss
weaponNames[64];Railgun
quit_yesno;Verlassen?
newMapTypeName[9];Space
pack;Bargeld
money1;Gold
money2;Kundschafter
gameItemsNames[177];Scout
RankName[46];Crazy
RankName[47];Daemon
RankName[48];Lord-Daemon
RankName[49];Ultra-Daemon
weaponNames[65];Rippa
gameItemsNames[178];Kitchen 1
gameItemsNames[179];Kitchen 2
gameItemsNames[180];Kitchen 3
gameItemsNames[181];Kitchen 4
gameItemsNames[182];Kitchen 5 
gameItemsNames[183];Fridge
skinName[16];Vetaran
clothesName[72];Veteran Hat
clothesName[73];Veteran Belt
clothesName[74];Veteran Suit
weaponNames[66];KBZP100
weaponNames[67];KBZS200
weaponNames[68];KBZC500
weaponNames[69];KBZW50
