Polish
init_nickname;Wpisz nazwę postaci:
respawnTimeStr[2];1 minuta
respawnTimeStr[3];2 minuty
respawnTimeStr[4];5 minut
respawnTimeStr[5];10 minut
respawnTimeStr[6];30 minut
respawnTimeStr[7];no respawning
monster_options;Opcje punkt respawnu potworów
monster_type;potwór Typ
ressurection_time;respawn Time
error_empty_map;Puste map! Spróbuj inną grę.
player_can_build_now;Budynek jest obecnie dozwolone
player_cant_build_now;Budynek jest zabronione!
opt_name;Opcje
opt_graph;grafika
opt_worse;niższy
opt_better;wyższy
opt_sound;dźwięk
opt_silent;ciszej
opt_louder;głośniej
opt_empty_screen;Puste \ nScreen
opt_smooth_follow;Gładkie \ nMovement
opt_close;Close (O)
connect_failed;Połączenie nie powiodło się.
create_room_failed;Stworzenie pokoju nie powiodło się.
put_on_items;--- --- Miejsce na przełącznikach
cube_occupied;--- Ten blok jest zajęty ---
to_delete_press;Przyciskiem DEL kasuje
to_move_press;Naciśnij E, aby przenieść
to_activate_press;Naciśnij przycisk F, aby uaktywnić
to_rotate_press;Naciśnij klawisz R, aby obrócić
to_edit_press;Naciśnij przycisk T, aby edytować opcje
cant_build_ask_admin;Budynek jest zabronione. Kontakt z administratorem mapy.
cant_change_world;Nie można zmienić świat w bieżącym trybie gry.
not_enougth_cubes;Nie więcej bloków. Czas na walkę!
beside_world;--- Poza mapą ---
place_on_cube_side;--- Należy umieścić na stronie bloku ---
place_on_ceil;--- Place to na suficie ---
cant_already_remove;Nie można usunąć cokolwiek innego. Czas na walkę!
find_item_choose_type;Wybierz typ elementu
find_item_type;Typ artykułu
apply;WYKORZYSTANIE
_for;dla
ps_choose_new_item_place;Wybierz nową lokalizację do umieszczenia tego elementu.
ps_press_for_respawn;Prasa skok (Spacja), aby respawn
ps_you_dead_try_again;Nie żyjesz! Spróbuj ponownie misję
ps_survival_dead;Będziesz respawn na początku następnej fali (lub jeśli inny gracz przechodzi obok miejsca, w którym zmarł).
ps_survival_if_VIP;Jeśli masz status VIP, będziesz respawn w 30 sekund.
ps_use_vita_water;Aby respawn, użyj trochę wody życia (Inventory (C) - przedmioty)
ps_press_for_use_vita_water;Aby respawn, naciśnij X, a woda życia spowoduje powrót
ps_before_respawn_secs;Czas pozostały do ​​respawn
ps_health_and_armor_restored;Zdrowie i pancerz przywrócony
ss_loading;ładowanie
social_tell_friends;Powiedz znajomym
social_menu;Dodaj do Menu
social_invite_friends;Zaproś przyjaciół
social_group;Dołącz do Grupy
social_invite_num_friends;3 Zaproś przyjaciół
social_tell_about_game;Powiadom znajomych o Grze
social_install_game;zainstalować grę
trig_options;Opcje do przełączników
trig_type;Typ przełącznika
trig_triggered_if;Przełącznik Warunek:
trig_need_for_triggering;Przełącznik Wymagania:
trig_mission_exit;Zostaw tę misję!
wire_put_on_switch;Można jedynie postawić drutu na przełączniku!
wire_options;Opcje druciane
wire_signal_delay;Opóźnienie sygnału
wire_connected_with;Przewód połączony
wire_not_connected;nie podłączony
wire_connected_moveable_cubes;ruchome Blocks
wire_connected_switch;wyłącznik
wire_connected_item;pozycja
wire_connected_coords;współrzędne
wire_connect_to;podłączyć przewód
wire_choose_connect_to;Wybierz miejsce podłączyć przewód do. (Dla teleportowanie, prosty dom. Dla innych mechaników, ruchomych bloków, elementów lub przełączników).
plazm_grenade_gun;Plasma Granatnik
seconds;sekundy
secondu;drugi
secondy;sekundy
minutes;Protokoły
minutu;minuta
minuty;Protokoły
monsters;potwory
monstra;potwory
viral_title;Ukończ misję i dostać nagrodę
viral_bonus;nagroda
player_exit;opuścił grę
player_joined;przyłączył się do gry
need_bullets_nothing;nic
need;wymagany
put_on;wyposażyć
activities_title;ruch
shots_per_sec;Strzały / s:
requireBullets;Zastosowanie:
offer_text[0];Panie i panowie, nie spiesz się dopiero dziś ma unikatowy sprzedaży. 50% zniżki dla tych produktów
offer_text[1];Najlepsza cena złota
offer_text[2];Więcej dolców i doświadczenie w misjach
monster_health_mult;mnożnik Zdrowie
monster_damage_mult;Uszkodzenia mnożnik
monster_state;Przy tych parametrach, nowy status potwora
boss;szef
newYearBoss_mission_adv;tajnej misji
newYearBoss_mission_need_level;Wymagany poziom: 5.
transport_options;Konfiguracja ikry transportowej
transport_type;Typ transportu
transportName[0];ATV
transportName[1];wieżyczka
transportName[2];Banshee
to_drive_press;Naciśnij przycisk (F) do wykorzystania
no_place_to_drive;--- Wszystkie miejsca są zajęte! ---
press_to_end_drive;Naciśnij przycisk (F) dla wyjścia
mission_name[1];Tutorial
mission_name[2];Defending the Village
mission_name[4];Defending the Village
mission_name[5];W poszukiwaniu uprzednia
mission_name[6];The Last Defense
mission_name[7];Park Oczyszczanie
mission_name[10];radioaktywny
mission_name[11];Druga fala
mission_name[12];Baza Alpha
mission_name[13];wektor
mission_name[14];Tank Production
mission_name[15];Fear Factory
mission_name[16];Secret of the Dead
mission_name[17];maczuga
mission_name[18];kontrola
mission_name[19];Tagil
mission_name[20];samolot
mission_name[21];Krump
mission_name[22];China-Town
mission_name[23];pośpiech
mission_name[24];Krzyż
mission_name[26];Przeżyć!
mission_name[27];Zniszczyć!
mission_name[28];Find!
mission_name[29];Zbierz!
mission_name[30];Escape!
mission_name[31];Posprzątać!
Buy;kupować
pieses;ilość
for_fullScreen_press;Pełny ekran - naciśnij F12
social_folow_fanpage;Śledź Fan Page
you_killed;zabiłeś
you_was_killed_by;Zabity przez
killed;zabity
to_next_round_last;Następna kolejka rozpoczyna się w
shooter_end_battle;Koniec bitwy
winner_place[0];1 miejsce
winner_place[1];2 miejsce
winner_place[2];3 miejsce
dead_by_nature;nie żyje
dead_himself;comitted samobójstwo
dead_by_zombie;zostało zjedzone
weaponNames[27];Plazmer
weaponNames[28];Scorch gun
weaponNames[29];Adv. pistolet
weaponNames[30];Tactical Shotgun
weaponNames[31];Tactical Rifle
offer_title;oferta
sale_title;sprzedaż
offer_open_shop;Otwórz sklep
offer_open_bank;Otwórz Bank
bulletsNames[4];Plazm
bulletsNames[5];amunicja 7,62
bulletsNames[6];uran
bulletsNames[7];rakiety PTURS
bulletsNames[8];granaty
bulletsNames[9];Ammo 0,300
howto_tab;Tab - wyniki graczy
clothesName[58];Exo Armor
clothesName[59];Exo Boots
clothesName[60];Exo Kask
clothesName[61];Exo Podkładki
clothesName[62];Exo Armor
clothesName[63];Exo Boots
clothesName[64];Exo Kask
clothesName[65];Exo Podkładki
buildinMapName[13];motel
buildinMapName[14];rzeźnia
skinName[12];Exo
buildinMapName[15];rzeka
buildinMapName[16];zatoka
buildinMapName[17];wyspa
buildinMapName[18];Plains
buildinMapName[19];rozdroże
buildinMapName[20];rzeka
buildinMapName[21];arena
buildinMapName[22];dwie wieże
buildinMapName[23];strajk
buildinMapName[24];"Atak Pro"
buildinMapName[25];"Motel"
online;online
building;budynek
mapsTop;Najlepsze mapy
anyBattle;Każda bitwa
withFriends;z przyjaciółmi
createGame;Tworzenie gry
friendsMaps;Znajomi mapy
findMap;Znajdź mapę
buySlotFor10;Kup szczelinę na 10
allMaps;Wszystkie mapy
addFor10;Dodaj do 10
accuracy;dokładność
nearFight;walka pobliżu
lightWeapon;lekką
shotguns;Strzelby
assaults;napastowanie
heavy;ciężki
precision;precyzja
equipment;sprzęt
weapons;broń
dances;Tańce
myClan;Mój klan
allClans;Wszystkie klany
createFor10;Tworzenie dla 10
edit;Edycja
leave;opuszczać
gameType;Rodzaj gry
add;dodać
addMap;Dodaj mapę
mapCanBreak1;niezniszczalny
weapon_upgrade_name0;uszkodzenie
weapon_upgrade_name2;Oceń ognia
weapon_upgrade_name3;rozmiar klip
weapon_upgrade_name4;Init ammo
is_tabs0;kostki
tabsItems;pozycje
is_tabs2;mechanizmy
is_tabs3;respawns
clanShort;Nazwa skrócona
clanURL;Strona Klan url
clanName;Nazwa klanu
clanJoin;przystąpić
clan;klan
myMap;moja mapa
find;odnaleźć
clear;jasny
buyToUpgrade;Aby uaktualnić, kupić
message;wiadomość
start;początek
buildinMaps;buildin mapy
music;muzyka
mouseSens;Sens myszy.
sound;dźwięk
settings;Ustawienia
graph;grafika
resolution;Resulution
activate;aktywować
close;blisko
character;charakter
main;główny
game;gra
arsenal;arsenał
career;kariera
fastBattle;Szybka Battle!
use;stosowanie
needParamsUpgradeNow;Upgrade teraz ALL
needParamsToBuy1;potrzeba
needParamsToBuyLevel;poziom
Upgrade;Upgrade
weapon_upgrade_name[0];uszkodzenie
weapon_upgrade_name[1];dokładność
weapon_upgrade_name[2];Oceń ognia
weapon_upgrade_name[3];rozmiar klip
weapon_upgrade_name[4];Init ammo
twiceGoldForFirstDonate;2 razy więcej monet dla pierwszej wpłaty!
DecorTypesNew[0];światło
DecorTypesNew[1];meble
DecorTypesNew[2];drzwi
DecorTypesNew[3];drabiny
DecorTypesNew[4];rośliny
DecorTypesNew[5];dekoracje
DecorTypesNew[6];drogi
DeviceTypes[3];Dopalacze
episode4;niedobitek
episode5;zakażenie
episode6;Okres półtrwania
episode7;samotność
episode8;zaćmienie
filterGameTypeStr[5];Capture the flag
filterGameTypeStr[6];dominacja
gameTypeStr[6];Capture the flag
gameTypeStr[7];dominacja
mission_name[32];Strach!
mission_name[33];placówka
mission_name[34];skała
mission_name[35];Laboratorium zła
mission_name[36];Początek
mission_name[37];Zarażony Strefa
mission_name[38];The Crossing
mission_name[39];Strefa
mission_name[40];wypadek
mission_name[41];Las Zmierzchu
mission_name[42];zbawienie
mission_name[43];tama
mission_name[44];The Caves of Death
mission_name[45];Spaceport
mission_name[46];Asteroid omega
mission_name[47];nieruchomość
mission_name[48];raj
mission_name[49];Droga na Zachód
mission_name[50];Zrujnowanego miasta
mission_name[51];Pracownia
mission_name[52];Tajny miasta
mission_name[53];głębokość
mission_name[54];Baza Gamma
mission_name[55];impas
mission_name[56];Tesla Arena
mission_name[57];PXL
mission_name[58];Górnicy wiejskie
mission_name[59];Astrand
mission_name[60];Atlantis
mission_name[61];Akademia
mission_name[62];Laboratorium Albadar
mission_name[63];Budowa
mission_name[64];pustynia
mission_name[65];Ściana Płaczu
mission_name[66];PIWE-18
mission_name[67];The Village
mission_name[68];The Cave
mission_name[69];Opuszczony port
mission_name[70];Ukryta Świątynia
mission_name[71];
mission_name[72];tropik
mission_name[73];Water-Park
mission_name[74];kwartał
mission_name[75];tętnica
mission_name[76];kamieniołom
mission_name[78];opuszczonej kopalni
mission_name[79];Tajemnica świątyni
mission_name[80];Laboratorium 776
mission_name[81];Czarnobyl
mission_name[82];północ
mission_name[83];Mroczna ścieżka
mission_name[84];nieruchomość
mission_name[85];Ciche miejsce
mission_name[86];Rozliczenie
createForX;Tworzenie dla {0}
myMapsListTutor;Wybierz mapę z listy. Można budować swoje mapy samodzielnie lub z przyjaciółmi, a następnie odtworzyć swoje mapy przez sieć.
bonusName[0];Osłabianie
bonusName[1];DOUBLE OSŁABIANIE
bonusName[2];WYBUCH
bonusName[3];DOUBLE WYBUCHU
bonusName[4];2 fragi
bonusName[5];5 fragów
bonusName[6];7 fragów
bonusName[7];10 fragów
bonusName[8];HADSHOT
bonusName[9];3 headshots
bonusName[10];5 headshots
bonusName[11];ratownik
bonusName[12];5 ZAPISANE
bonusName[13];ŚWIĘTY
bonusName[14];Walka w zwarciu
bonusName[15];Walka wręcz 3
bonusName[16];SAMOBÓJSTWO
bonusName[17];Zwycięska drużyna
bonusName[18];1 miejsce
bonusName[19];2 miejsce
bonusName[20];3 miejsce
bonusName[21];Capture the Flag
bonusName[22];MISJA
bonusName[23];5 zombie
bonusName[24];20 zombie
bonusName[25];50 zombie
bonusName[26];3 demony
bonusName[27];10 demony
bonusName[28];3 zombie wybuchu
bonusName[29];20 zombie wybuchu
bonusName[30];50 zombie wybuchu
bonusName[31];Zniszczenie transportu
bonusName[32];3 transporty
bonusName[33];1 fala
bonusName[34];3 fale
bonusName[35];5 fal
bonusName[36];10 fale
bonusName[37];50 kostek
bonusName[38];150 kostek
bonusName[39];5 pozycji
bonusName[40];20 szt
bonusName[41];Mechanizm
frags_killed;fragi
dialog_next;następny
exitGame;Wyjście do menu głównego?
exit;Wyjście
gameItemsNames[83];czerwona flaga
gameItemsNames[84];Zielona flaga
gameItemsNames[85];Błękitna flaga
gameItemsNames[86];Złoty flag
gameItemsNames[87];snajper Spawn
gameItemsNames[88];Spawn of Scorch Gun
gameItemsNames[89];dominacja Punkt
gameItemsNames[90];APC respawn
gameItemsNames[91];respawn Cuttera
gameItemsNames[92];Djumper
gameItemsNames[93];pchacz
gameItemsNames[94];PC
gameItemsNames[95];Ctylish PC
gameItemsNames[96];Zombie agenta
gameItemsNames[97];Zombie Stalker
SpawnerTypes[0];broń
SpawnerTypes[1];potwory
SpawnerTypes[2];specjalny
SpawnerTypes[3];inny
buildinMapName[26];Lummoks
buildinMapName[27];argolida
pauseMenu_rank;ranga
pauseMenu_name;nazwa
pauseMenu_kills;fragi
pauseMenu_deathes;deathes
pauseMenu_ban;zakaz
pauseMenu_allow;Pozostawić / zabronić
pauseMenu_beginTest;Rozpoczęcie testu mapę
pauseMenu_saveMap;Zapisz mapę
pauseMenu_healers;pomaga
pauseMenu_gamers;gracze
pauseMenu_wave;Wave:
pauseMenu_score;wynik
clan_fail_new;Niepowodzenie tworzenia klanów
clan_url_default;Wprowadź adres URL np klanu grupy http://facebook.com/
gameItemsNames[120];drzwi
gameItemsNames[121];pierś
gameItemsNames[122];dywan
gameItemsNames[123];szafa
gameItemsNames[124];stół
gameItemsNames[125];stolec
gameItemsNames[126];Świece
strTutor[21];Naciśnij przycisk C i wybrać dowolny sześcian \ nThen build 5 kostki wszędzie (prawy przycisk myszy)
strTutor[22];Gotowe! Teraz zniszczyć wszystkie 5 kostek (lewy przycisk myszy)
clothesName[66];królik
clothesName[67];skrzydełka
clothesName[68];przestrzeń Kask
skinName[13];kosmonauta
skinName[14];rycerz
txts_bonus;premia
instal_android_many;Instalowanie DeadZone w telefonie pozostawić dobrą opinię i umieścić 5 gwiazdek i dostać {0} monet.
instal_android;1.Install grę na telefonie.
star_otziv;2.leave dobrą opinię i umieścić 5 gwiazdek
txt_frendsss;3.Tell znajomym
award_android;nagroda
ta_bonus;Odebrać premię
enter_android;ENTER GMAIL GOOGLE.PLAY
gmail_android;Wpisz swój adres e-mail z Google Play, aby potwierdzić informację o instalacji gry
shield_knight;Tarcza
helmet_knight;kask
knight_skin;rycerz
pca_pca;PCA
revolver_r;rewolwer
bfg_9000;BFG 9000
computer_stailish;stylowy komputer
computer_c;stylowy komputer
pusher;pchacz
jumper;skoczek
easy_apc;łatwy APC
helicopter;śmigłowiec
jet_soldiers;Jet żołnierze
zombie_knight;Zombie rycerz
zombie_stalker;Zombie Stalker
gameItemsNames[127];jeep
gameItemsNames[128];renegat
gameItemsNames[129];Robot 0x1
gameItemsNames[130];Robot 0x2
gameItemsNames[131];Robot 0x3
gameItemsNames[132];Robot 0x4
gameItemsNames[133];Robot-BOSS 0x5
gameItemsNames[134];Lite BTR
gameItemsNames[135];śmigłowiec
gameItemsNames[136];Zombie knight
gameItemsNames[137];reaktywne żołnierze
gameItemsNames[138];łódź
weaponNames[32];rewolwer
weaponNames[33];PCA
weaponNames[34];BFG
clothesName[68];Cosmo kask
clothesName[69];kask
clothesName[70];Tarcza
monsterName[7];Robot 0x1
monsterName[8];Robot 0x2
monsterName[9];Robot 0x3
monsterName[10];Robot 0x4
monsterName[11];Robot Boss 0x5
monsterName[12];agent
monsterName[13];Stalker
monsterName[14];rycerz
monsterName[15];Rocket żołnierze
he_saved;zapisywane
you_saved;uratowałeś
he_saved_you;uratował
headshot;HEADSHOT
offer_title;oferta
sale_title;sprzedaż
offer_open_shop;Otwórz sklep
offer_open_bank;Otwórz Bank
howto_tab;Tab - wyniki
you_have_flag;Trzeba flagę! Taki jest oparcie
your_flag_captured;You flag wzięte! Powrót IT!
flag_has_been_captured;Flaga zdobyta!
flag_color_name[0];"Red"
flag_color_name[1];"Blue"
flag_color_name[2];"Zielony"
flag_color_name[3];"Yellow"
takes_flag;wzięty
dropped_flag;spadła
flag;flaga
BCS_Score;wynik
cant_take_flag_no_players;mogę zabrać flagę pustym zespołem
you_returned_flag;Wróciłeś flagę
your_team_is;Ty Team -
need_level;Potrzeba {0} Poziom
Unlock;Unlock
jumper_options;konfiguracja Djumper
jumper_options_height;moc:
mapCanBreak1;bez przerwy
buildinMapName[28];"Arena Sontar"
buildinMapName[29];"Skrzynka Mięso 2"
buildinMapName[30];"Czerwona miasto"
weaponNames[35];SVD9000
weaponNames[36];FreezeGun
gameItemsNames[139];desc
gameItemsNames[140];drzwi
gameItemsNames[141];bariera
gameItemsNames[142];Big barierą
gameItemsNames[143];odżywka
gameItemsNames[144];Sygnalizacji świetlnej
gameItemsNames[145];Sygnalizacji świetlnej
gameItemsNames[146];Satelite
gameItemsNames[147];telefon
gameItemsNames[148];city ​​Light
gameItemsNames[149];ołtarz
gameItemsNames[150];Scull ogrodzenia
gameItemsNames[151];Ogień Lantern
gameItemsNames[152];strach na wróble
gameItemsNames[153];Dynia światła
weaponNames[37];łom
weaponNames[38];buława
weaponNames[39];MP5
weaponNames[40];UMP
DeviceTypes[4];pistolety
gameItemsNames[154];pistolet
gameItemsNames[155];wyrzutnia
weaponNames[41];UMP SPEC
weaponNames[42];Katana
weaponNames[43];Axe
clothesName[71];miecze
skinName[15];brnąć
weaponNames[44];flinta
weaponNames[45];SG553
weaponNames[46];Kriss
weaponNames[47];AA12
weaponNames[48];PP19
weaponNames[49];Shmaiser
weaponNames[50];Bargun
weaponNames[51];MG42
weaponNames[52];SMK2
weaponNames[53];HK416
weaponNames[54];MGL
weaponNames[55];TMP
gameItemsNames[156];Saitan Mikołaj
need_prew_upgrade;Musisz odblokować wszystkie bronie Prew
unlock;odblokować
weaponNames[56];kusza
weaponNames[57];Carbon Extra
MissionType[7];Znajdź wyjście w czasie
gameItemsNames[157];zbiornik
ui_buy_for;Kup Wszystko dla {0}
gameItemsNames[158];Podwójne Łóżko
gameItemsNames[159];łóżko
gameItemsNames[160];krzesło
gameItemsNames[161];stół
gameItemsNames[162];Baricade
gameItemsNames[163];cel
gameItemsNames[164];szafka
gameItemsNames[165];Mid Locker
gameItemsNames[166];Zaloguj
gameItemsNames[167];Bar w poziomie
gameItemsNames[168];niebieski Tank
gameItemsNames[169];Red Tank
gameItemsNames[170];Wojna Samolot
weaponNames[58];Asvald
weaponNames[59];młotek
weaponNames[60];M7001
newMapTypeName[6];pustynia
newMapTypeName[7];zima
newMapTypeName[8];bagno
gameItemsNames[171];latarnia
gameItemsNames[172];latarnia Big
gameItemsNames[173];Big Bed
gameItemsNames[174];łóżko
gameItemsNames[175];szafa
gameItemsNames[176];krzesło
specItemsName[9];flesz
specItemsName[10];Antigrav
weaponNames[61];fn57
weaponNames[62];M249
weaponNames[63];gaus
weaponNames[64];Railgun
quit_yesno;Koniec?
newMapTypeName[9];Spacepack
pack;Pakiet
money1;gotówka
money2;złoto
gameItemsNames[177];zwiadowca
RankName[46];Кубезумец
RankName[47];Демон
RankName[48];Лорд-Демон
RankName[49];Маршал-Демон
weaponNames[65];Rippa
gameItemsNames[178];Kitchen 1
gameItemsNames[179];Kitchen 2
gameItemsNames[180];Kitchen 3
gameItemsNames[181];Kitchen 4
gameItemsNames[182];Kitchen 5 
gameItemsNames[183];Fridge
skinName[16];Vetaran
clothesName[72];Veteran Hat
clothesName[73];Veteran Belt
clothesName[74];Veteran Suit
weaponNames[66];KBZP100
weaponNames[67];KBZS200
weaponNames[68];KBZC500
weaponNames[69];KBZW50
