key;ru
opt_close;Закрыть(O)
connect_failed;Не удалось присоединиться...
create_room_failed;Не удалось создать комнату...
put_on_items;--- Поставьте на выключатели ---
cube_occupied;--- Этот куб занят ---
to_delete_press;Нажмите (DEL) чтобы удалить
to_move_press;Нажмите (E) чтобы переместить
to_activate_press;Нажмите (F) чтобы активировать
to_rotate_press;Нажмите (R) чтобы повернуть
to_edit_press;Нажмите (T) чтобы настроить
cant_build_ask_admin;Стройка запрещена. Обратитесь к Администратору карты.
cant_change_world;В этом режиме нельзя изменять мир.
not_enougth_cubes;Больше нет кубов. В бой!
beside_world;--- За пределами карты ---
place_on_cube_side;--- поставьте на боковую сторону куба ---
place_on_ceil;--- устанавливается на потолок ---
cant_already_remove;Ломать больше нельзя. В бой!
find_item_choose_type;Выберите тип предмета
find_item_type;Тип предмета
apply;ПРИМЕНИТЬ
_for;за
ps_choose_new_item_place;Выберите новое место для установки предмета.
ps_press_for_respawn;Нажмите прыжок(пробел) для респауна
ps_you_dead_try_again;Вы погибли попробуйте начать миссию заново
ps_survival_dead;Вы возродитесь в начале следующей волны, либо если мимо места гибели пройдёт другой игрок.
ps_survival_if_VIP;Если у Вас статус V.I.P., Вы возродитесь через 30с.
ps_use_vita_water;Для возрождения используйте Живую Воду (Инвентарь(С)-Предметы)
ps_press_for_use_vita_water;Для возрождения нажмите X - вас восстановит Живая Вода
ps_before_respawn_secs;До возрождения осталось
ps_health_and_armor_restored;Здоровье и броня восстановлены
ss_loading;Загрузка
social_tell_friends;Рассказать друзьям
social_menu;Добавить в меню
social_invite_friends;Пригласить друзей
social_group;Вступить в группу
social_invite_num_friends;Пригласить 3x друзей
social_tell_about_game;Рассказать о игре
social_install_game;Установить приложение
trig_options;Настройка выключателя
trig_type;Тип выключателя
trig_triggered_if;Срабатывает, если:
trig_need_for_triggering;Для срабатывания нужен:
trig_mission_exit;Выход из миссии!
wire_put_on_switch;Провод можно ставить только на выключатель!
wire_options;Настройка провода
wire_signal_delay;Задержка сигнала
wire_connected_with;Провод подсоединён к
wire_not_connected;не подсоединён
wire_connected_moveable_cubes;Подвижные кубы
wire_connected_switch;Выключатель
wire_connected_item;Предмет
wire_connected_coords;Координаты
wire_connect_to;Поключить провод
wire_choose_connect_to;Выберите место, куда подключить провод. (Для телепорта - просто куб, для подключения - подвижные кубы, предметы, выключатели.
plazm_grenade_gun;Плазменный гранатомет
seconds;Секунд
secondu;Секунду
secondy;Секунды
minutes;Минут
minutu;Минуту
minuty;Минуты
monsters;Монстров
monstra;Монстра
viral_title;Выполни задание и получи награду
viral_bonus;Награда
player_exit;вышел из игры
player_joined;присоединился к игре
need_bullets_nothing;ничего
need;Нужен
put_on;Одеть
activities_title;Движения
offer_text[0];Дамы и господа, торопитесь только сегодня действует уникальная распродажа. Скидки в магазине на указанные товары 50%
offer_text[1];Выгодная цена на золото
offer_text[2];Больше баксов и опыта на миссиях
monster_health_mult;Множитель здоровья
monster_damage_mult;Множитель урона
monster_state;С этими параметрами у монстра новый статус
boss;БОСС
newYearBoss_mission_adv;Проверь себя! Новогодний БОСС!
newYearBoss_mission_need_level;Необходим 5 уровень.
transport_options;Настройка точки возрождения транспорта
transport_type;Тип транспорта
transportName[0];Квадроцикл
transportName[1];Турель
transportName[2];Банши
to_drive_press;Нажмите (E), чтобы  управлять
no_place_to_drive;--- Все места заняты! ---
press_to_end_drive;Нажмите (X), чтобы выйти
mission_name[1];Обучение
mission_name[4];Защита деревни
mission_name[5];Поиск чертежей
mission_name[6];Последняя оборона
mission_name[7];Зачистка парка
mission_name[10];Радиоактивность
mission_name[11];Вторая волна
mission_name[12];База Альфа
mission_name[13];Вектор
mission_name[14];Танковый Завод
mission_name[15];Фабрика страха
mission_name[16];Тайник мертвеца
mission_name[17];Блекджек
mission_name[18];Контроль
mission_name[19];Тагил
mission_name[20];Плоскость
mission_name[21];Крамп
mission_name[22];Чайна-Таун
mission_name[23];Осада
mission_name[24];Крест
mission_name[26];Выжить!
mission_name[27];Уничтожить!
mission_name[28];Найти!
mission_name[29];Собрать!
mission_name[30];Выйти!
mission_name[31];Зачистить!
shots_per_sec;Выстр. в сек: 
requireBullets;Нужно: 
for_fullScreen_press;Полноэкранный режим - F12
pieses;Кол-во
Buy;Купить
social_folow_fanpage;Подписаться на страницу
you_killed;Вы убили
you_was_killed_by;Вы были убиты
killed;убил
to_next_round_last;До следующего раунда
shooter_end_battle;Закончить битву
winner_place[0];1 место
winner_place[1];2 место
winner_place[2];3 место
dead_by_nature;погиб
dead_himself;самоуничтожился
dead_by_zombie;съели
clothesName[58];"Экзо-броня"
clothesName[59];"Экзо-боты"
clothesName[60];"Экзо-шлем"
clothesName[61];"Экзо-щитки"
clothesName[62];"Экзо-броня"
clothesName[63];"Экзо-боты"
clothesName[64];"Экзо-шлем"
clothesName[65];"Экзо-щитки"
buildinMapName[13];Мотель
buildinMapName[14];Мясорубка
skinName[12];Экзо
buildinMapName[15];"Река"
buildinMapName[16];"Залив"
buildinMapName[17];"Остров"
buildinMapName[18];"Плоская"
buildinMapName[19];"Перекресток"
buildinMapName[20];"Река"
buildinMapName[21];"Арена"
buildinMapName[22];"Две башни"
buildinMapName[23];"Страйк"
buildinMapName[24];"Assault Pro"
buildinMapName[25];"Мотель"



